Date,Z1A1_pumped,Z1A2_pumped,Z1A3_pumped,Z2A1_pumped,Z2A2_pumped,Z2A3_pumped,Z3A1_pumped,Z3A2_pumped,Z3A3_pumped,Z4A1_pumped,Z4A2_pumped,Z4A3_pumped
13/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.122441768
14/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.122441768
15/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.123815219
16/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.124497356
17/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.124708421
18/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.129581266
19/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.127672506
20/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.125170316
21/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.121829986
22/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.121829986
23/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.121829986
24/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.816193494,0.121829986
25/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.818964165,0.118061407
26/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.824139933,0.117792223
27/10/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.881054133,0.117581158
28/10/1980,0,0,0,0,0,0,0,0,0.025036638,0.083641289,0.8862299,0.113121265
29/10/1980,0,0,0,0,0,0,0,0,0.025036638,0.083641289,0.101206454,0.113121265
30/10/1980,0,0,0,0,0,0,0,0,0.025036638,0.083641289,0.101206454,0.113121265
31/10/1980,0,0,0,0,0,0,0,0,0.025036638,0.083641289,0.8862299,0.113121265
1/11/1980,0,0,0,0,0,0,0,0,0.025036638,0.083641289,0.8862299,0.113121265
2/11/1980,0,0,0,0,0,0,0,0,0.025036638,0.083641289,0.8862299,0.113121265
3/11/1980,0,0,0,0,0,0,0,0,0.025036638,0.083641289,0.8862299,0.113121265
4/11/1980,0,0,0,0,0,0,0,0,0.025036638,0.083641289,0.883459229,0.112708312
5/11/1980,0,0,0,0,0,0,0,0,0.025036638,0.083641289,0.878283462,0.11240548
